date,AAPL,activity,sentiment,date,SPY,activity,sentiment,date,TSLA,activity,sentiment
1/24/23,AAPL,0.0329,4,1/24/23,SPY,0.0307,2,1/24/23,TSLA,0.1411,-1
1/25/23,AAPL,0.0313,3,1/25/23,SPY,0.0359,3,1/25/23,TSLA,0.1457,-1
1/26/23,AAPL,0.0258,4,1/26/23,SPY,0.0314,0,1/26/23,TSLA,0.1779,0
1/27/23,AAPL,0.0265,4,1/27/23,SPY,0.0265,-2,1/27/23,TSLA,0.2226,-1
1/30/23,AAPL,0.0247,3,1/30/23,SPY,0.0297,0,1/30/23,TSLA,0.2111,-1
1/31/23,AAPL,0.0218,4,1/31/23,SPY,0.0296,-2,1/31/23,TSLA,0.1969,-2
2/1/23,AAPL,0.0264,3,2/1/23,SPY,0.0314,-1,2/1/23,TSLA,0.1656,-2
2/2/23,AAPL,0.0281,3,2/2/23,SPY,0.0228,-2,2/2/23,TSLA,0.1404,-2
2/3/23,AAPL,0.0508,4,2/3/23,SPY,0.0247,-2,2/3/23,TSLA,0.1708,-2
2/6/23,AAPL,0.0284,3,2/6/23,SPY,0.0252,1,2/6/23,TSLA,0.1943,-1
2/7/23,AAPL,0.0286,4,2/7/23,SPY,0.0299,2,2/7/23,TSLA,0.1741,-1
2/8/23,AAPL,0.0229,6,2/8/23,SPY,0.0277,4,2/8/23,TSLA,0.1699,-1
2/9/23,AAPL,0.0212,5,2/9/23,SPY,0.0311,6,2/9/23,TSLA,0.1803,-1
2/10/23,AAPL,0.022,2,2/10/23,SPY,0.0249,8,2/10/23,TSLA,0.211,-1
2/13/23,AAPL,0.0288,1,2/13/23,SPY,0.0252,7,2/13/23,TSLA,0.1944,-1
2/14/23,AAPL,0.0246,2,2/14/23,SPY,0.0335,4,2/14/23,TSLA,0.1905,-1
2/15/23,AAPL,0.0294,2,2/15/23,SPY,0.0279,2,2/15/23,TSLA,0.1737,-1
2/16/23,AAPL,0.0257,2,2/16/23,SPY,0.0301,5,2/16/23,TSLA,0.2046,-1
2/17/23,AAPL,0.0236,2,2/17/23,SPY,0.0342,5,2/17/23,TSLA,0.2098,-1
